CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3
add,45,45,90,97,92,94
add,56,52,108,112,110,111
add,29,20,49,50,53,50
add,36,35,71,73,75,76
add,53,52,105,109,108,111
add,24,20,44,54,51,52
add,40,35,75,85,83,80
add,48,45,93,103,98,94
add,20,20,40,45,41,45
add,36,35,71,81,77,81
add,45,45,90,100,93,100
add,57,52,109,117,113,117
add,38,35,73,79,80,74
add,49,45,94,101,98,96
add,57,52,109,116,115,110
add,24,20,44,47,49,54
add,45,18,63,64,69,66
add,52,17,69,70,75,71
add,30,29,59,67,62,66
add,35,24,59,60,61,66
add,52,18,70,71,76,74
add,20,17,37,41,39,43
add,35,29,64,67,66,68
add,45,24,69,74,72,74
add,20,18,38,42,40,44
add,35,17,52,53,59,53
add,45,29,74,81,77,82
add,52,24,76,78,83,78
add,35,18,53,54,61,55
add,45,17,62,70,66,64
add,52,29,81,84,87,82
subtract,45,45,0,7,2,5
subtract,56,52,4,12,11,12
subtract,29,20,9,12,17,12
subtract,36,35,1,4,5,8
subtract,53,52,1,3,4,8
subtract,24,20,4,5,7,6
subtract,40,35,5,10,9,13
subtract,48,45,3,7,6,10
subtract,20,20,0,1,6,3
subtract,36,35,1,6,8,2
subtract,45,45,0,2,3,7
subtract,57,52,5,6,7,11
subtract,38,35,3,10,6,10
subtract,49,45,4,8,10,7
subtract,57,52,5,9,10,11
subtract,24,20,4,5,9,7
subtract,45,18,27,28,30,33
subtract,52,17,35,43,41,38
subtract,30,29,1,5,7,5
subtract,35,24,11,17,19,1
subtract,52,18,34,36,37,24
subtract,20,17,3,8,10,7
subtract,35,29,6,8,10,14
subtract,45,24,21,22,11,24
subtract,20,18,2,9,7,8
subtract,35,17,18,26,22,26
subtract,45,29,16,20,23,22
subtract,52,24,28,32,29,32
subtract,35,18,17,18,7,23
subtract,45,17,28,34,30,31
subtract,52,29,23,13,26,13
multiply,10,8,80,86,88,84
multiply,10,9,90,98,94,97
multiply,10,5,50,55,51,52
multiply,10,16,160,164,170,166
multiply,8,10,80,88,82,85
multiply,9,10,90,100,97,92
multiply,5,10,50,51,52,53
multiply,16,10,160,164,165,168
multiply,5,8,40,44,46,50
multiply,5,9,45,49,51,47
multiply,5,5,25,31,30,28
multiply,5,16,80,84,88,85
multiply,8,10,80,85,90,94
multiply,9,10,90,91,93,96
multiply,5,10,50,57,59,51
multiply,16,10,160,170,164,170
multiply,10,8,80,90,81,90
multiply,10,9,90,93,91,93
multiply,10,5,50,55,57,60
multiply,10,16,160,164,161,168
multiply,8,5,40,44,42,47
multiply,9,5,45,51,47,53
multiply,5,5,25,30,27,30
multiply,16,5,80,82,84,82
multiply,2,8,16,17,24,20
multiply,2,9,18,19,22,26
multiply,2,5,10,12,20,13
multiply,2,16,32,42,34,42
multiply,8,10,80,90,86,82
multiply,9,10,90,96,98,92
multiply,5,10,50,55,60,53
multiply,16,10,160,168,170,168
multiply,10,8,80,90,92,83
multiply,10,9,90,97,94,97
multiply,10,5,50,53,52,56
multiply,10,16,160,167,162,164
multiply,8,5,40,41,50,47
multiply,9,5,45,49,46,48
multiply,5,5,25,30,27,32
multiply,16,5,80,82,86,90
multiply,10,8,80,90,85,86
multiply,10,9,90,91,97,95
multiply,10,5,50,57,53,57
multiply,10,16,160,167,170,164
multiply,8,10,80,82,81,86
multiply,9,10,90,91,98,95
multiply,5,10,50,52,60,51
multiply,16,10,160,164,166,168
multiply,5,8,40,46,43,45
multiply,5,9,45,46,53,48
multiply,5,5,25,35,31,35
multiply,5,16,80,84,90,85
multiply,8,2,16,21,20,22
multiply,9,2,18,19,21,24
multiply,5,2,10,11,18,15
multiply,16,2,32,34,36,38
