CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3
add,54,49,103,105,109,107
add,25,14,39,42,44,40
add,46,43,89,92,91,99
add,50,50,100,101,110,106
add,22,14,36,38,39,44
add,44,43,87,93,97,101
add,50,50,100,101,102,107
add,54,49,103,109,111,106
add,48,43,91,93,92,96
add,53,50,103,105,107,111
add,51,49,100,102,104,108
add,48,14,62,63,72,66
add,52,50,102,107,112,107
add,53,49,102,109,107,112
add,28,14,42,47,43,46
add,48,43,91,99,95,92
add,49,22,71,76,81,76
add,26,25,51,55,57,61
add,43,28,71,75,77,81
add,50,48,98,101,108,106
add,22,22,44,52,49,52
add,43,25,68,70,71,73
add,50,28,78,86,85,88
add,49,48,97,105,99,101
add,43,22,65,66,71,67
add,50,25,75,80,77,85
add,49,28,77,79,78,81
add,48,48,96,101,103,99
add,50,22,72,74,78,74
add,49,25,74,77,84,80
add,28,28,56,62,61,63
subtract,54,49,5,12,7,6
subtract,25,14,11,13,18,13
subtract,46,43,3,8,6,10
subtract,50,50,0,5,7,2
subtract,22,14,8,14,9,13
subtract,44,43,1,4,2,6
subtract,50,50,0,7,5,8
subtract,54,49,5,8,6,10
subtract,48,43,5,8,10,11
subtract,53,50,3,6,11,10
subtract,51,49,2,5,9,3
subtract,48,14,34,42,39,24
subtract,52,50,2,3,4,5
subtract,53,49,4,6,11,9
subtract,28,14,14,20,22,26
subtract,48,43,5,7,10,14
subtract,49,22,27,29,17,33
subtract,26,25,1,7,9,7
subtract,43,28,15,22,21,19
subtract,50,48,2,4,6,7
subtract,22,22,0,5,4,5
subtract,43,25,18,21,25,19
subtract,50,28,22,29,31,30
subtract,49,48,1,7,6,3
subtract,43,22,21,27,28,32
subtract,50,25,25,31,32,29
subtract,49,28,21,24,11,29
subtract,48,48,0,6,8,4
subtract,50,22,28,29,18,36
subtract,49,25,24,29,25,14
subtract,28,28,0,3,5,3
multiply,10,12,120,125,126,128
multiply,10,2,20,21,22,28
multiply,10,18,180,187,186,184
multiply,10,21,210,216,215,219
multiply,12,10,120,124,123,128
multiply,2,10,20,21,26,22
multiply,18,10,180,190,184,182
multiply,21,10,210,213,214,216
multiply,5,12,60,61,66,64
multiply,5,2,10,11,17,21
multiply,5,18,90,92,100,96
multiply,5,21,105,115,107,109
multiply,12,10,120,126,122,127
multiply,2,10,20,22,23,30
multiply,18,10,180,184,181,185
multiply,21,10,210,220,218,216
multiply,10,12,120,124,128,132
multiply,10,2,20,25,30,25
multiply,10,18,180,183,184,187
multiply,10,21,210,215,220,224
multiply,12,5,60,67,62,64
multiply,2,5,10,15,18,17
multiply,18,5,90,98,96,97
multiply,21,5,105,107,109,113
multiply,2,12,24,28,31,32
multiply,2,2,4,5,10,11
multiply,2,18,36,37,41,45
multiply,2,21,42,49,44,48
multiply,12,10,120,124,125,126
multiply,2,10,20,27,29,27
multiply,18,10,180,182,188,183
multiply,21,10,210,214,217,216
multiply,10,12,120,130,132,130
multiply,10,2,20,27,26,24
multiply,10,18,180,188,190,194
multiply,10,21,210,217,218,216
multiply,12,5,60,70,64,63
multiply,2,5,10,11,18,12
multiply,18,5,90,93,100,98
multiply,21,5,105,106,109,110
multiply,10,12,120,128,130,122
multiply,10,2,20,30,21,25
multiply,10,18,180,186,185,187
multiply,10,21,210,215,213,217
multiply,12,10,120,125,127,121
multiply,2,10,20,23,21,25
multiply,18,10,180,186,184,186
multiply,21,10,210,217,214,216
multiply,5,12,60,68,67,70
multiply,5,2,10,15,20,16
multiply,5,18,90,92,91,94
multiply,5,21,105,107,109,108
multiply,12,2,24,34,32,34
multiply,2,2,4,7,9,5
multiply,18,2,36,40,42,40
multiply,21,2,42,45,44,45
