CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3
add,47,12,59,63,67,64
add,41,33,74,82,75,76
add,46,34,80,90,83,90
add,60,59,119,124,127,124
add,47,33,80,83,81,87
add,41,34,75,79,78,77
add,63,59,122,125,132,126
add,51,12,63,64,70,64
add,47,34,81,85,89,83
add,61,59,120,121,122,124
add,46,12,58,66,61,59
add,51,33,84,92,88,92
add,61,59,120,123,125,128
add,41,12,53,59,55,63
add,46,33,79,86,83,82
add,51,34,85,92,88,86
add,49,47,96,100,102,99
add,46,41,87,91,89,93
add,50,46,96,98,101,99
add,59,51,110,118,120,114
add,51,47,98,102,105,108
add,46,41,87,93,95,99
add,59,46,105,112,107,113
add,52,51,103,104,107,108
add,48,47,95,96,98,105
add,59,41,100,110,107,110
add,50,46,96,106,97,106
add,52,51,103,106,108,104
add,59,47,106,111,113,108
add,42,41,83,85,90,91
add,47,46,93,101,103,98
subtract,47,12,35,36,42,40
subtract,41,33,8,16,12,16
subtract,46,34,12,2,15,13
subtract,60,59,1,5,7,5
subtract,47,33,14,21,18,4
subtract,41,34,7,9,13,11
subtract,63,59,4,9,8,11
subtract,51,12,39,47,43,41
subtract,47,34,13,16,15,18
subtract,61,59,2,3,8,9
subtract,46,12,34,38,24,42
subtract,51,33,18,20,26,22
subtract,61,59,2,5,6,8
subtract,41,12,29,37,39,32
subtract,46,33,13,16,19,3
subtract,51,34,17,20,21,23
subtract,49,47,2,5,7,11
subtract,46,41,5,11,6,10
subtract,50,46,4,9,8,9
subtract,59,51,8,10,13,16
subtract,51,47,4,12,7,11
subtract,46,41,5,10,11,15
subtract,59,46,13,20,19,18
subtract,52,51,1,2,4,7
subtract,48,47,1,8,10,7
subtract,59,41,18,25,26,22
subtract,50,46,4,11,6,8
subtract,52,51,1,8,7,9
subtract,59,47,12,2,17,21
subtract,42,41,1,8,10,2
subtract,47,46,1,6,4,8
multiply,10,10,100,103,107,101
multiply,10,20,200,210,204,201
multiply,10,7,70,80,77,80
multiply,10,13,130,137,133,138
multiply,10,10,100,103,105,110
multiply,20,10,200,208,201,208
multiply,7,10,70,72,71,80
multiply,13,10,130,132,133,137
multiply,5,10,50,54,53,54
multiply,5,20,100,103,102,101
multiply,5,7,35,41,43,39
multiply,5,13,65,72,69,67
multiply,10,10,100,107,103,104
multiply,20,10,200,208,206,208
multiply,7,10,70,74,72,74
multiply,13,10,130,131,140,131
multiply,10,10,100,105,104,108
multiply,10,20,200,204,201,205
multiply,10,7,70,72,75,72
multiply,10,13,130,135,138,132
multiply,10,5,50,56,57,54
multiply,20,5,100,106,108,105
multiply,7,5,35,39,43,36
multiply,13,5,65,71,73,66
multiply,2,10,20,27,23,28
multiply,2,20,40,41,43,42
multiply,2,7,14,16,17,22
multiply,2,13,26,27,29,36
multiply,10,10,100,104,101,103
multiply,20,10,200,202,206,204
multiply,7,10,70,78,71,80
multiply,13,10,130,137,138,137
multiply,10,10,100,101,105,106
multiply,10,20,200,205,206,208
multiply,10,7,70,77,75,80
multiply,10,13,130,133,135,139
multiply,10,5,50,51,60,64
multiply,20,5,100,101,104,108
multiply,7,5,35,37,43,41
multiply,13,5,65,72,70,73
multiply,10,10,100,105,104,110
multiply,10,20,200,204,208,203
multiply,10,7,70,76,72,73
multiply,10,13,130,135,137,140
multiply,10,10,100,102,108,106
multiply,20,10,200,205,210,208
multiply,7,10,70,73,75,74
multiply,13,10,130,133,134,137
multiply,5,10,50,52,58,56
multiply,5,20,100,107,103,106
multiply,5,7,35,38,40,37
multiply,5,13,65,70,73,71
multiply,10,2,20,26,28,21
multiply,20,2,40,45,50,54
multiply,7,2,14,18,20,18
multiply,13,2,26,30,33,37
