CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3
add,60,58,118,122,119,123
add,57,53,110,114,116,112
add,49,44,93,101,97,103
add,56,54,110,116,118,122
add,58,53,111,118,117,113
add,44,44,88,91,93,95
add,58,54,112,117,118,114
add,63,58,121,128,124,123
add,46,44,90,95,100,91
add,57,54,111,115,118,112
add,63,58,121,127,129,133
add,56,53,109,116,112,116
add,54,54,108,111,113,117
add,62,58,120,122,124,127
add,54,53,107,112,115,110
add,44,44,88,98,92,95
add,58,21,79,85,82,83
add,53,11,64,68,67,71
add,44,26,70,77,79,78
add,54,13,67,69,70,74
add,53,21,74,77,75,77
add,44,11,55,57,61,56
add,54,26,80,81,83,87
add,58,13,71,79,76,80
add,44,21,65,68,75,72
add,54,11,65,71,68,75
add,58,26,84,87,91,95
add,53,13,66,72,70,74
add,54,21,75,82,78,77
add,58,11,69,73,79,83
add,53,26,79,80,87,80
subtract,60,58,2,7,9,4
subtract,57,53,4,9,10,9
subtract,49,44,5,6,13,11
subtract,56,54,2,8,5,9
subtract,58,53,5,11,7,13
subtract,44,44,0,5,3,1
subtract,58,54,4,9,8,7
subtract,63,58,5,7,10,11
subtract,46,44,2,4,7,4
subtract,57,54,3,5,7,5
subtract,63,58,5,10,9,8
subtract,56,53,3,11,10,8
subtract,54,54,0,1,3,0
subtract,62,58,4,5,9,6
subtract,54,53,1,4,9,13
subtract,44,44,0,1,2,3
subtract,58,21,37,38,44,42
subtract,53,11,42,49,45,46
subtract,44,26,18,22,25,8
subtract,54,13,41,49,42,45
subtract,53,21,32,40,35,40
subtract,44,11,33,39,23,37
subtract,54,26,28,18,33,37
subtract,58,13,45,47,49,51
subtract,44,21,23,28,30,24
subtract,54,11,43,33,48,52
subtract,58,26,32,38,39,43
subtract,53,13,40,45,46,48
subtract,54,21,33,35,37,40
subtract,58,11,47,50,49,37
subtract,53,26,27,31,29,34
multiply,10,14,140,147,144,150
multiply,10,6,60,65,67,68
multiply,10,19,190,192,194,195
multiply,10,11,110,114,116,120
multiply,14,10,140,144,146,143
multiply,6,10,60,61,62,66
multiply,19,10,190,195,197,195
multiply,11,10,110,120,118,116
multiply,5,14,70,71,78,75
multiply,5,6,30,36,38,42
multiply,5,19,95,102,96,100
multiply,5,11,55,56,63,57
multiply,14,10,140,146,141,143
multiply,6,10,60,61,68,70
multiply,19,10,190,200,202,194
multiply,11,10,110,112,114,115
multiply,10,14,140,144,142,146
multiply,10,6,60,66,70,67
multiply,10,19,190,197,199,191
multiply,10,11,110,115,116,115
multiply,14,5,70,76,77,71
multiply,6,5,30,34,31,33
multiply,19,5,95,105,103,101
multiply,11,5,55,61,63,61
multiply,2,14,28,29,31,30
multiply,2,6,12,20,22,15
multiply,2,19,38,41,44,46
multiply,2,11,22,26,29,23
multiply,14,10,140,144,148,141
multiply,6,10,60,68,63,67
multiply,19,10,190,198,200,195
multiply,11,10,110,114,115,111
multiply,10,14,140,143,148,143
multiply,10,6,60,66,63,64
multiply,10,19,190,191,192,193
multiply,10,11,110,115,118,115
multiply,14,5,70,73,77,75
multiply,6,5,30,40,36,38
multiply,19,5,95,101,100,97
multiply,11,5,55,58,56,62
multiply,10,14,140,150,148,141
multiply,10,6,60,63,62,61
multiply,10,19,190,195,191,195
multiply,10,11,110,120,111,116
multiply,14,10,140,147,141,150
multiply,6,10,60,67,62,66
multiply,19,10,190,195,192,196
multiply,11,10,110,120,117,113
multiply,5,14,70,77,74,75
multiply,5,6,30,31,38,37
multiply,5,19,95,102,96,100
multiply,5,11,55,60,61,65
multiply,14,2,28,34,38,42
multiply,6,2,12,14,18,22
multiply,19,2,38,43,41,46
multiply,11,2,22,29,26,27
