songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,32.946163000000524,3.339999238960445e-05,0.16276041666666666,-0.026041666666666668,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76460009999573,4.359999729786068e-05,35.76460009999573,0.3138020833333333,-0.4583333333333333,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.42624810000416,1.9099999917671084e-05,0.3046875,0.0078125,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,multiply,10,18,180,183,184,187,0,0,0,8,0,0,0,80,,,,,,,,,,,,,,,,,,,,,,,,39.63416830000642,0.03708520000509452,0.125,-0.061197916666666664,1,0,0,42.67321360000642,42.67321360000642,42.67321360000642,42.67321360000642,42.67321360000642,0.07459289999678731,42.67321360000642,True,0.11067708333333333,-0.3958333333333333,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,subtract,22,14,8,14,9,13,0,0,0,8,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.03507460000401,45.03507460000401,45.03507460000401,45.03507460000401,45.03507460000401,0.015962799996486865,45.03507460000401,True,-0.3046875,-0.3997395833333333,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,subtract,28,28,0,3,5,3,0,0,0,8,0,2,2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79586610000115,47.79586610000115,47.79586610000115,47.79586610000115,47.79586610000115,0.011826700007077307,47.79586610000115,True,-0.10286458333333333,-0.4010416666666667,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,multiply,2,2,4,5,10,11,0,0,0,8,0,3,3,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.69370260000869,51.69370260000869,51.69370260000869,51.69370260000869,51.69370260000869,0.009655400004703552,51.69370260000869,True,0.09114583333333333,-0.38671875,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,subtract,43,22,21,27,28,32,0,0,0,8,0,4,4,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.227705199999036,53.227705199999036,53.227705199999036,53.227705199999036,53.227705199999036,0.0108269000047585,53.227705199999036,True,-0.1015625,-0.3997395833333333,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,add,53,50,103,105,107,111,0,0,0,8,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.73261249999632,55.73261249999632,55.73261249999632,55.73261249999632,55.73261249999632,0.01669469999615103,55.73261249999632,True,0.10026041666666667,-0.4205729166666667,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,2,90,add,53,49,102,109,107,112,0,0,0,8,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.09310080000432,58.09310080000432,58.09310080000432,58.09310080000432,58.09310080000432,0.011331300003803335,58.09310080000432,True,-0.27734375,-0.3958333333333333,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-11-01_11h56.48.543,musicalMathTest,2022.2.0,60.015688101552,
