songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,46.95097779999924,2.9200000426499173e-05,-0.06888888888888889,-0.14222222222222222,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.53270729999713,2.2599997464567423e-05,53.53270729999713,0.3422222222222222,-0.44666666666666666,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.58235849999983,2.0299998141126707e-05,-0.07666666666666666,-0.07444444444444444,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,50,22,72,74,78,74,0,0,0,6,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,62.32943439999872,0.04478190000008908,-0.057777777777777775,-0.06888888888888889,1,0,0,62.88547169999947,62.88547169999947,62.88547169999947,62.88547169999947,62.88547169999947,0.08560950000173762,62.88547169999947,True,-0.10333333333333333,-0.4077777777777778,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,49,25,74,77,84,80,0,0,0,6,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.78080789999876,66.78080789999876,66.78080789999876,66.78080789999876,66.78080789999876,0.010975700002745725,66.78080789999876,True,0.08777777777777777,-0.40444444444444444,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,subtract,53,49,4,6,11,9,0,0,0,6,0,2,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.89773869999772,72.89773869999772,72.89773869999772,72.89773869999772,72.89773869999772,0.01445640000019921,72.89773869999772,True,-0.29888888888888887,-0.4077777777777778,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,subtract,48,43,5,8,10,11,0,0,0,6,0,3,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.02316449999853,77.02316449999853,77.02316449999853,77.02316449999853,77.02316449999853,0.009117500001593726,77.02316449999853,True,-0.10777777777777778,-0.3977777777777778,1,0,0,ansTwo,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,multiply,12,5,60,70,64,63,0,0,0,6,0,4,4,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3893879999996,82.3893879999996,82.3893879999996,82.3893879999996,82.3893879999996,0.011392500000511063,82.3893879999996,True,0.09444444444444444,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,54,49,103,105,109,107,0,0,0,6,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.63682589999735,85.63682589999735,85.63682589999735,85.63682589999735,85.63682589999735,0.008958999998867512,85.63682589999735,True,-0.29777777777777775,-0.4022222222222222,1,0,0,ansOne,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
music\calm\instrumentals\Brand New Feelings (90) (Instrumental) by Land of Legs.wav,brand new feelings,calm,instrumental,2,90,add,50,25,75,80,77,85,0,0,0,6,0,6,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.94920579999962,92.94920579999962,92.94920579999962,92.94920579999962,92.94920579999962,0.008763699999690289,92.94920579999962,True,0.10111111111111111,-0.39555555555555555,1,0,0,ansThree,,,,,,,,,,,,,,,,002,2022-11-01_15h27.43.086,musicalMathTest,2022.2.0,59.95998270690761,
