songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,12.306111700017937,2.6699970476329327e-05,-0.14074074074074075,0.05555555555555555,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.550968699972145,2.210005186498165e-05,14.550968699972145,0.3768518518518518,-0.45092592592592595,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.717635700013489,2.189993392676115e-05,-0.1648148148148148,0.09351851851851851,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,8,10,80,85,90,94,0,0,0,9,0,0,0,74,,,,,,,,,,,,,,,,,,,,,,,,17.58483049995266,0.044263800024054945,0.10185185185185185,-0.325,1,0,0,21.067544499994256,21.067544499994256,21.067544499994256,21.067544499994256,21.067544499994256,0.05161289998795837,21.067544499994256,True,-0.29444444444444445,-0.40185185185185185,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,30,29,1,5,7,5,0,0,0,9,0,1,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.417546199983917,23.417546199983917,23.417546199983917,23.417546199983917,23.417546199983917,0.012961199972778559,23.417546199983917,True,0.09537037037037037,-0.40555555555555556,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,40,35,75,85,83,80,0,0,0,9,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.834190399968065,25.834190399968065,25.834190399968065,25.834190399968065,25.834190399968065,0.00830440002027899,25.834190399968065,True,-0.08333333333333333,-0.4027777777777778,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,5,5,25,30,27,32,0,0,0,9,0,3,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.017413199995644,30.017413199995644,30.017413199995644,30.017413199995644,30.017413199995644,0.006629799958318472,30.017413199995644,True,-0.2824074074074074,-0.40370370370370373,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,10,5,50,55,57,60,0,0,0,9,0,4,4,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.30078239995055,32.30078239995055,32.30078239995055,32.30078239995055,32.30078239995055,0.008533299900591373,32.30078239995055,True,-0.2935185185185185,-0.39814814814814814,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,9,5,45,49,46,48,0,0,0,9,0,5,5,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.05070409993641,33.05070409993641,33.05070409993641,33.05070409993641,33.05070409993641,0.0066281999461352825,33.05070409993641,True,0.09351851851851851,-0.4083333333333333,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,9,10,90,91,93,96,0,0,0,9,0,6,6,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.900688000023365,35.900688000023365,35.900688000023365,35.900688000023365,35.900688000023365,0.006594600039534271,35.900688000023365,True,0.09351851851851851,-0.4083333333333333,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,49,45,94,101,98,96,0,0,0,9,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00065489998087,37.00065489998087,37.00065489998087,37.00065489998087,37.00065489998087,0.007391999941319227,37.00065489998087,True,-0.2814814814814815,-0.39444444444444443,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,53,52,1,3,4,8,0,0,0,9,0,8,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.283951699966565,40.283951699966565,40.283951699966565,40.283951699966565,40.283951699966565,0.006599899963475764,40.283951699966565,True,-0.10277777777777777,-0.3972222222222222,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,5,16,80,84,90,85,0,0,0,9,0,9,9,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4172706999816,42.4172706999816,42.4172706999816,42.4172706999816,42.4172706999816,0.006584900082089007,42.4172706999816,True,-0.10462962962962963,-0.3972222222222222,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,45,29,16,20,23,22,0,0,0,9,0,10,10,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.20060900005046,44.20060900005046,44.20060900005046,44.20060900005046,44.20060900005046,0.006597400060854852,44.20060900005046,True,-0.30277777777777776,-0.4064814814814815,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,48,45,93,103,98,94,0,0,0,9,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.85036289994605,63.85036289994605,63.85036289994605,63.85036289994605,63.85036289994605,0.006563200033269823,63.85036289994605,False,-0.29814814814814816,-0.4046296296296296,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,35,18,17,18,7,23,0,0,0,9,0,12,12,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.36689780000597,70.36689780000597,70.36689780000597,70.36689780000597,70.36689780000597,0.0064455000683665276,70.36689780000597,True,-0.29907407407407405,-0.4046296296296296,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,45,45,90,100,93,100,0,0,0,9,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.36682540003676,76.36682540003676,76.36682540003676,76.36682540003676,76.36682540003676,0.006728600012138486,76.36682540003676,True,0.09259259259259259,-0.39814814814814814,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,add,53,52,105,109,108,111,0,0,0,9,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.55012699996587,78.55012699996587,78.55012699996587,78.55012699996587,78.55012699996587,0.0064067000057548285,78.55012699996587,True,-0.07592592592592592,-0.40555555555555556,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,multiply,10,9,90,98,94,97,0,0,0,9,0,15,15,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21674780000467,82.21674780000467,82.21674780000467,82.21674780000467,82.21674780000467,0.006789300008676946,82.21674780000467,True,0.08796296296296297,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\silence.wav,silent,silent,silent,1,90,A,subtract,45,45,0,7,2,5,0,0,0,9,0,16,16,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75006190000568,83.75006190000568,83.75006190000568,83.75006190000568,83.75006190000568,0.006071500014513731,83.75006190000568,True,-0.10648148148148148,-0.4009259259259259,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
