songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,12.525700199999847,3.090000245720148e-05,0.5601851851851852,-0.004629629629629629,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.495576399960555,2.6699970476329327e-05,18.495576399960555,0.26851851851851855,-0.4388888888888889,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57555189996492,2.280005719512701e-05,0.6314814814814815,-0.14166666666666666,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,2,14,28,29,31,30,0,0,0,1,0,0,0,86,,,,,,,,,,,,,,,,,,,,,,,,36.536160800023936,0.15262860001530498,0.6351851851851852,-0.16574074074074074,1,0,0,41.842768499976955,41.842768499976955,41.842768499976955,41.842768499976955,41.842768499976955,0.13574479997623712,41.842768499976955,True,-0.11388888888888889,-0.4101851851851852,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,subtract,53,21,32,40,35,40,0,0,0,1,0,1,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7656333000632,49.7656333000632,49.7656333000632,49.7656333000632,49.7656333000632,0.01602949993684888,49.7656333000632,True,-0.3,-0.4,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,6,10,60,61,68,70,0,0,0,1,0,2,2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5965933999978,57.5965933999978,57.5965933999978,57.5965933999978,57.5965933999978,0.016295200097374618,57.5965933999978,True,-0.2953703703703704,-0.3990740740740741,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,14,10,140,146,141,143,0,0,0,1,0,3,3,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.77527760004159,59.77527760004159,59.77527760004159,59.77527760004159,59.77527760004159,0.009900399949401617,59.77527760004159,True,0.09537037037037037,-0.3925925925925926,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,5,19,95,102,96,100,0,0,0,1,0,4,4,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.25841030001175,62.25841030001175,62.25841030001175,62.25841030001175,62.25841030001175,0.01035050000064075,62.25841030001175,True,0.09722222222222222,-0.3962962962962963,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,subtract,46,44,2,4,7,4,0,0,0,1,0,5,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.94007700006478,68.94007700006478,68.94007700006478,68.94007700006478,68.94007700006478,0.009361100033856928,68.94007700006478,True,-0.09814814814814815,-0.4046296296296296,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\vocals\Someone Like You (90) (Chorus Vocals) by Poison Beaches.wav,someone like you,active,vocals,2,90,multiply,19,5,95,101,100,97,0,0,0,1,0,6,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.68919730000198,75.68919730000198,75.68919730000198,75.68919730000198,75.68919730000198,0.010160199948586524,75.68919730000198,True,0.08981481481481482,-0.3990740740740741,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
