songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,14.225835,2.80E-05,-0.126851852,0.147222222,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8246897,1.51E-05,15.8246897,0.307407407,-0.438888889,1,0,0,consentBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2247009,1.23E-05,-0.181481481,0.026851852,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,54,21,33,35,37,40,0,0,0,3,0,0,0,59,,,,,,,,,,,,,,,,,,,,,,,,18.3418081,0.041646,-0.042592593,0.02962963,1,0,0,19.8747044,19.8747044,19.8747044,19.8747044,19.8747044,0.0314183,19.8747044,TRUE,0.090740741,-0.398148148,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,14,10,140,146,141,143,0,0,0,3,0,1,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3413767,22.3413767,22.3413767,22.3413767,22.3413767,0.0056523,22.3413767,TRUE,-0.291666667,-0.396296296,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,53,26,27,31,29,34,0,0,0,3,0,2,2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2580622,24.2580622,24.2580622,24.2580622,24.2580622,0.0046312,24.2580622,TRUE,-0.109259259,-0.400925926,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,11,2,22,29,26,27,0,0,0,3,0,3,3,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.924781,28.924781,28.924781,28.924781,28.924781,0.0043137,28.924781,TRUE,0.093518519,-0.401851852,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,54,53,1,4,9,13,0,0,0,3,0,4,4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3748029,31.3748029,31.3748029,31.3748029,31.3748029,0.0040746,31.3748029,TRUE,-0.102777778,-0.394444444,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,58,21,79,85,82,83,0,0,0,3,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0081439,35.0081439,35.0081439,35.0081439,35.0081439,0.0055763,35.0081439,TRUE,0.09537037,-0.401851852,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,53,11,64,68,67,71,0,0,0,3,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9915134,37.9915134,37.9915134,37.9915134,37.9915134,0.0041979,37.9915134,TRUE,0.101851852,-0.398148148,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
