songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
music\silence.wav,silent,silent,silent,4,90,B,subtract,42,37,5,12,11,9,0,2,2,4,0,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,206.8190657,0.0039631,-0.048148148,-0.150925926,1,0,0,216.1860559,216.1860559,216.1860559,216.1860559,216.1860559,0.0131153,216.1860559,FALSE,-0.291666667,-0.403703704,1,0,0,ansOne,201.8185164,206.8190657,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,17,10,170,176,180,172,0,2,2,4,0,1,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.8539733,232.8539733,232.8539733,232.8539733,232.8539733,0.0056304,232.8539733,TRUE,-0.299074074,-0.417592593,1,0,0,ansOne,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,15,10,5,11,8,7,0,2,2,4,0,2,2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.3040582,234.3040582,234.3040582,234.3040582,234.3040582,0.0050348,234.3040582,TRUE,-0.1,-0.399074074,1,0,0,ansTwo,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,15,10,150,153,157,151,0,2,2,4,0,3,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0541597,237.0541597,237.0541597,237.0541597,237.0541597,0.0052518,237.0541597,TRUE,0.115740741,-0.406481481,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,subtract,60,55,5,13,12,8,0,2,2,4,0,4,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.3544854,239.3544854,239.3544854,239.3544854,239.3544854,0.004936,239.3544854,TRUE,-0.09537037,-0.403703704,1,0,0,ansTwo,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,3,5,15,22,23,19,0,2,2,4,0,5,5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.5713401,243.5713401,243.5713401,243.5713401,243.5713401,0.0051393,243.5713401,TRUE,-0.286111111,-0.400925926,1,0,0,ansOne,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
music\silence.wav,silent,silent,silent,4,90,B,multiply,5,4,20,25,28,26,0,2,2,4,0,6,6,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7048531,245.7048531,245.7048531,245.7048531,245.7048531,0.0048824,245.7048531,TRUE,0.106481481,-0.402777778,1,0,0,ansThree,,,,,,,,,,,,,,,,,5,2022-10-29_20h35.14.991,musicalMathTest,2022.2.4,59.97317999
